brand,product,vol_price,rate,nb_reviews,sales_rank,product_url,category
이니스프리(innisfree),포레스트 포맨 모이스처 스킨,"180ml19,000원",4.07,(81),1,/product/7212,스킨
비오템옴므,아쿠아파워 토너,"200ml54,000원",4.09,(65),2,/product/4108,스킨
키엘 (Kiehl's),칼렌듈라 허벌 엑스트렉트 토너,"250ml59,000원",3.82,(730),3,/product/11071,스킨
반트 36.5 (VANT 36.5),포 맨 올 인 원 스킨,"120ml35,000원",4.29,(31),4,/product/21577,스킨
프리메라,맨 오가니언스 트리트먼트 워터,"180ml30,000원",4.38,(26),5,/product/13159,스킨
이니스프리(innisfree),포레스트 포맨 프레시 올인원 에센스,"100ml25,000원",3.76,(63),6,/product/7198,스킨
스킨푸드,자작나무 수액 수분 플루이드 포맨,"125ml14,000원",4.04,(27),7,/product/33632,스킨
시드물,옴므 올인,"140ml14,800원",4.13,(24),8,/product/82032,스킨
피토메스,안티포어 리파이닝 토너,"120ml28,000원",3.79,(38),9,/product/32186,스킨
키엘 (Kiehl's),훼이셜 퓨얼 에너자이징 토닉 포 맨,"250ml36,000원",4.14,(21),10,/product/3497,스킨
캘빈클라인,원 스킨 모이스처라이저,"250ml22,500원",4.00,(16),11,/product/74074,스킨
네이처리퍼블릭,아프리카 버드 옴므 올인원 모이스처라이저,"150ml25,000원",4.33,(12),12,/product/7994,스킨
유키누(UQINU),더마 모이스트 토너,"125ml25,000원",4.78,(9),13,/product/105470,스킨
랩시리즈,워터 로션,"200ml45,000원",3.65,(49),14,/product/3457,스킨
이니스프리(innisfree),올리브 리얼 스킨 포맨,"150ml17,000원",3.92,(13),15,/product/7209,스킨
미샤,포맨 익스트림 리뉴 스킨,"120ml24,000원",3.71,(17),16,/product/5716,스킨
더페이스샵,네오 클래식 옴므 블랙 에센셜 80토너,"130ml23,000원",4.11,(9),17,/product/8589,스킨
헤라 (HERA),옴므 블랙 퍼펙트 플루이드,"120ml60,000원",3.85,(13),18,/product/8528,스킨
스킨푸드,비어 원샷 수분 에센스 토너 포맨,"155ml19,000원",4.14,(7),19,/product/50033,스킨
CNP(차앤박),옴므 에이 케어 토너,"120ml27,000원",4.50,(6),20,/product/15788,스킨
