date,user_id,sex,age_skin_type,rate,content,product_url
28일 전,minseo6666,f,16세 · 복합성 ·,good,아빠 사드렸는데 저아해여,/product/7212
2개월 전,피부에관심있는남자,m,20세 · 복합성 ·,good,향이 좋아요 근데 좀 제 피부가 민감해서,/product/7212
3개월 전,타라타라,f,23세 · 복합성 ·,good,가격이 저렴하고 냄새가 안 쎄서 좋아요. 👍,/product/7212
4개월 전,흐시너,f,18세 · 복합성 ·,good,선물용으로 사서 선물했는데 나름 만족했는지 매일 바른다네요;,/product/7212
4개월 전,홍끼루,f,32세 · 복합성 ·,good,향이 청량해서 좋아요.,/product/7212
4개월 전,피부글로우글로우,m,24세 · 지성 ·,good,피부 지성이어서 최대한 안 끈적거리고 수분보충 할 수 있는 제품 찾으려고 하는 편인데 이거 써보니까 좋았어요. 피부 기름 클렌징폼으로 세안하고 이거 바르면 저는 괜찮더라고요.,/product/7212
5개월 전,Milji,f,24세 · 건성 ·,best,남치니 사줫는데,/product/7212
6개월 전,현디000,f,29세 · 복합성 ·,best,남자화장품 향을 중시하시는 아빠 선물로 드렸는데 만족해하셨네요!두통째 사드렸습니다,/product/7212
2019.3.19,nowould,f,18세 · 복합성 ·,good,지금 오빠가 쓰고 있는데,/product/7212
2019.2.11,화장하기귀찮다,f,23세 · 복합성 ·,soso,복합성 피부 입니다 생각보다 별로였습니다,/product/7212
2019.2.11,혀나32,f,33세 · 건성 ·,best,실랑이 복합성인데 이거쓰고 진짜 좋다고하네요 주변에서 다 얼굴색이 좋아졌다고해요 좋아요 굿이예요~,/product/7212
2019.2.7,방구방구똥방구,f,16세 · 민감성 ·,good,예민한 분듵은 트러블 날 수도 있을거 같아요!!,/product/7212
2019.2.6,pinkduk,f,17세 · 복합성 ·,good,아빠 생신 선물로 드렸었는데 향도 좋고 아빠가 완전 만족하시더라구요 트러블도 안났어요! 그냥 무난템 선물하기 좋은거 같아용,/product/7212
