,date,user_id,sex,age_skin_type,rate,content,product_url,dist
0,2개월 전,현콕,m,28세 · 복합성 ·,good,제일 무난하고 가볍게쓰기 좋아서 몇년째 이거만써요,/product/7212,0.007865701218991217
1,2개월 전,sso___,f,28세 · 복합성 ·,soso,남자친구 선물로 사줬는데 그저그렇데요 나쁘지도 좋지도 않데요,/product/7212,0.005364618251920694
2,3개월 전,minseo6666,f,17세 · 복합성 ·,good,아빠 사드렸는데 저아해여,/product/7212,0.0050681267328699375
3,4개월 전,피부에관심있는남자,m,21세 · 복합성 ·,good,향이 좋아요 근데 좀 제 피부가 민감해서 안맞는거 같아요 좀 올라오더라고요ㅠ,/product/7212,0.018892132827005637
4,5개월 전,타라타라,f,24세 · 복합성 ·,good,가격이 저렴하고 냄새가 안 쎄서 좋아요. 👍 다음에도 또 구매할 것 같아요.,/product/7212,0.026248124052022814
5,5개월 전,흐시너,f,19세 · 복합성 ·,good,선물용으로 사서 선물했는데 나름 만족했는지 매일 바른다네요;,/product/7212,0.002864304755333058
6,5개월 전,홍끼루,f,33세 · 복합성 ·,good,향이 청량해서 좋아요. 흡수가 잘되면서 끈적이지 않아요. 지금 시즌 잘 사용중인데 가을부터는 건조할듯 합니다. 가볍게 쓰기 좋대요.,/product/7212,0.009433659932376104
7,6개월 전,피부글로우글로우,m,25세 · 지성 ·,good,피부 지성이어서 최대한 안 끈적거리고 수분보충 할 수 있는 제품 찾으려고 하는 편인데 이거 써보니까 좋았어요. 피부 기름 클렌징폼으로 세안하고 이거 바르면 저는 괜찮더라고요.,/product/7212,0.005332687056917362
8,2019.7.5,Milji,f,25세 · 건성 ·,best,"남치니 사줫는데 앞으로는 이것만 쓰겟다고 넘넘 좋다고 한다  남자들 무거운거 싫어하는데 텍스쳐도 좋고, 수분감도 좋앗다. 향도 나쁘지 않다. 가격대도 용량비해서 나쁘지 않은편이라 앞으로 계속 이것만 쓸듯",/product/7212,0.005597164502607166
9,2019.5.15,현디000,f,30세 · 복합성 ·,best,남자화장품 향을 중시하시는 아빠 선물로 드렸는데 만족해하셨네요!두통째 사드렸습니다,/product/7212,0.0016485986342432701
10,2019.3.19,nowould,f,19세 · 복합성 ·,good,지금 오빠가 쓰고 있는데 트러블 없고 향기(?)도 괜찮아서 애용하고 있는 제품이에요!,/product/7212,0.002768374385038519
11,2019.2.11,화장하기귀찮다,f,24세 · 복합성 ·,soso,복합성 피부 입니다 생각보다 별로였습니다  피부결을 잘 잡아주는 거 같진 않고  생각보다 많이 간지러웠습니다  제 피부가 이상한 걸 수도 있는데 빨갛게 올라오더라구요,/product/7212,0.004526980668978942
12,2019.2.11,혀나32,f,34세 · 건성 ·,best,실랑이 복합성인데 이거쓰고 진짜 좋다고하네요 주변에서 다 얼굴색이 좋아졌다고해요 좋아요 굿이예요~,/product/7212,0.002386984025257277
13,2019.2.7,방구방구똥방구,f,17세 · 민감성 ·,good,예민한 분듵은 트러블 날 수도 있을거 같아요!!,/product/7212,0.0650619297880618
14,2019.2.6,pinkduk,f,18세 · 복합성 ·,good,아빠 생신 선물로 드렸었는데 향도 좋고 아빠가 완전 만족하시더라구요 트러블도 안났어요! 그냥 무난템 선물하기 좋은거 같아용,/product/7212,0.007983924733916292
15,2019.2.4,닉넴은지,f,22세 · 복합성 ·,good,가볍게 바르기 좋은것같아요 향도 강하지도 않고 아빠가 쓰시는데 2통 정도 쓰셨어요!!무난하게 쓰기 좋은것같네용,/product/7212,0.04187937425085231
16,2019.2.3,precy,f,22세 · 복합성 ·,soso,제가 테스터 써봤을때는 트러블 안나고 향도 괜찮았는데 남자친구가 이거쓰면 트러블 난데요ㅠㅠ,/product/7212,0.001586262807461436
17,2019.2.2,김아미아미,f,16세 · 건성 ·,good,아빠가 한 번 사시고는 또 사셧어요 향도 괜찮고 출근하기전에 가볍게 바르기 좋다네용,/product/7212,0.0033336437039318545
18,2019.2.2,유씨아빠,m,62세 · 민감성 ·,good,저렴하고 제품력이 강하기까지 하니 두말할 따위없이 좋으네요. 가성비가 좋은것같네요. 촉촉하고 향좋고 대만족!,/product/7212,0.016955473724800996
19,2019.2.2,victoria,f,21세 · 복합성 ·,good,선물로 드렸는데 원래 피부가 민감하셔서 선물 드릴때 고민많았는데 이걸 쓰시고 나셔서 피부가 가볍고좋으시다고 하네요,/product/7212,0.0011695920905634427
20,2019.2.2,sswu16,f,24세 · 복합성 ·,good,편하긴하지만 향이 세고 성분도 순한지는 잘 모르겠아요ㅠㅠ,/product/7212,0.005020827022722885
21,2019.2.2,별소녀,f,27세 · 지성 ·,good,아버지 사용하시는 제품인데 겨울에 스킨과 로션만 발라도 충분하다고 좋아하십니다 원래 제가 준 화장품 주로 사용하시는 편인데 이것도 좋다고 나중에 세일하면 또 사달라고 하시네요 향은 아빠들 화장품 향...이고 트러블도 없고 가격도 세일하면 싸게 구입할 수도 있어서 잘 쓰시는 제품입니다😁😁😁,/product/7212,0.0028226657735946903
22,2019.2.2,ㅔㅣㅕ,f,19세 · 지성 ·,good,#사요 아버지가 사용하고 계시는데 좋아하시는거같아옹!! 아버지 피부가 옛날엔 완전 지성이셨는데 피부 관련된 화장품 바꾸시고 나서부터 피부가 더 좋아지신 것 같아 딸로서는 기분이 좋네요 ㅎㅎ,/product/7212,0.0140402377315062
23,2019.2.1,밝은빛누리예,f,20세 · 복합성 ·,good,오빠 선물로 사줬는데 진한 남자 스킨 로션 향이 아닌 은은한 향이었어요 무난하게 쓰기 좋을 것 같아요,/product/7212,0.01734611488442117
24,2019.2.1,에고썬,f,36세 · 건성 ·,good,#사요 이번 설에 아빠 설선물로 드렸어요 세트를 팔더라고요 스킨 로션 클렌징폼 해서 30%세일 하여 28700원에 팔고 있어서 올인원 쓰다가 함 바꾸어 봤습니다 늘 쓰던 제품이라 촉촉하니 좋다고 하시내요 저렴하게 사서 굿이었어요,/product/7212,0.0030263827546089805
25,2019.1.31,하구름씨,f,20세 · 복합성 ·,good,"엥 이거 아빠가 쓰시던거,,,! 여기서 보니 반갑네용 뭐 워낙에 화장품 사주는거 가리지않고 잘 사용하시는 분이라 무난하게 다 사용하기 괜찮은 것 같아요 아마 제 기억엔 매장 직원분께 추천받아서 샀거든요 ! 이게 젤 무난하게 잘 맞으니까 추천해주신 것 같고 아빠두 잘 사용하고 계셔요 히히 피부타입 가리지않고 두루두루 사용하기 좋은 남성용 스킨인 것 같습니당!!",/product/7212,0.01889870641485092
26,2019.1.31,tjgml930,f,26세 · 복합성 ·,soso,오빠 선물로 해줬는데 민감한편이여도 이제품은 다행히 피부가 올라오거나 그러지 않더라고요 무난무난하게 쓸만합니다,/product/7212,0.002234954217241958
27,2019.1.31,지금여신강림중,f,16세 · 복합성 ·,best,아빠한테 선물로 사드렸는데 아빠 피부가 거칠했던게 촉촉해지더라고요 가격도 싸고진짜 좋아요,/product/7212,0.0014863747474802569
28,2019.1.23,코덕공듀,f,21세 · 복합성 ·,best,아빠 선물러 사드렸는데 정말 괜찮타고 했던제퓸입니다 스킨 찾으시면 이걸루 사시는게 어떨까욤?!,/product/7212,0.0016486367357961829
29,2019.1.22,팡파라팡창,f,27세 · 복합성 ·,best,남자친구꺼로 비오템도 사보고 여러가지 사봤는데 이게 제일 순하고 좋다고 하더라구요! 냄새도 좋구요! 여러가지 사보다가 다시 돌아오게 됩니당,/product/7212,0.001981431587021243
30,2019.1.17,dbwjd3994,f,25세 · 건성 ·,best,저희 아부지는 올인원 이런거 별로 안좋아하셔서 이거 로션이랑 세트로 사드렸더니 많이 좋아라 하시네요!!!! 아부지 피셜 촉촉하고 안땡기고 좋다고 냄새도 괜찮다고 하십니당,/product/7212,0.004313459418666898
31,2018.12.3,리뷰꾼,m,29세 · 복합성 ·,best,포레스트... 제가 우연찮게 이니스프리 들려 파란케이스 보고 뭔가 깔끔해서 사서 써봤는데 정말 괜찮은거같아요 제가 피부에 열이 많은편이었는데 이거쓰고 많이진정되고 피부도좀 사람다워져서 이후에 애용하는 스킨이에요 !! 가격이 좀 쎈거같은데 요즘 남자스킨로션 다비싸서 좋은템인듯~,/product/7212,0.008767242778877082
32,2018.9.29,HI_SangJun,m,27세 · 민감성 ·,bad,이 제품뿐만 아니라 이니스프리 특유의 감귤향이 나하고 맞지 않는듯. 이니스프리에서 감귤향이 나는 제품을 쓰고 나면 피부가 뒤집어지는 경험을 함. 만약 이니스프리 제품을 쓰고 피부가 뒤집어지면 향료 때문일 수 있다는 의심을 해보셨음 함.,/product/7212,0.003388696825922688
33,2018.9.5,영ㅇㅇ이,f,28세 · 건성 ·,good,건조한 남친 피부에 딱 좋아요 이번겨울에 또 사줄거에야,/product/7212,0.004989497535041076
34,2018.9.2,wogml91,m,30세 · 민감성 ·,good,저도 제품쓰면서 피부가 많이 좋아졌어요 ^^,/product/7212,0.003824581591633569
35,2018.7.14,혜쩌이,f,29세 · 지성 ·,good,아빠 사드렸는데 잘 쓰고 계세요 무난하게 쓰기 괜찮은 거 같아요,/product/7212,0.030427801703217683
36,2018.6.29,JeanJin,m,28세 · 복합성 ·,soso,"급하게 스킨케어 제품 사라고 하면 살만한 이니스프리 포맨 라인. 여러 기능성, 피부 타입별로 출시되어있긴 하지만 전체적으로 크게 다른점은 못느끼겠고 그냥 순하고 무난하다. 피부에 큰 자극없고 큰 효과도 없다. 급하면 사고 아니면 말 정도.",/product/7212,0.0043383030974010195
37,2018.6.7,김민홍,m,20세 · 복합성 ·,good,순하고 가볍게 바르기에 좋아요!! 아빠랑 같이 사용하고있어요~,/product/7212,0.00450668050962344
38,2018.3.15,밍진,f,34세 · 복합성 ·,soso,남편은 피부가 좀 예민한편인데 이거 쓰고 따갑다고 했어요,/product/7212,0.001832176561475829
39,2018.2.7,지나가던상봉남자,m,30세 · 지성 ·,soso,무난합니다. 보이는 것처럼 파란색이 시원한 느낌을 줍니다,/product/7212,0.0038102042146856974
40,2017.12.25,미뇽우뇽,f,27세 · 지성 ·,soso,군대 간 제 동생한테 사줫엇는데 좋아하네요 근데 트러블 개선 기능같은건 없는거 같네용 ㅜ ㅜ,/product/7212,0.009688663377469986
41,2017.12.15,Avalee,f,31세 · 민감성 ·,good,겨울에 코주변 입주변 볼따구 다 터가지고 벌겋게 다니는 남동생이 너무 안쓰러워서 사줬는데 좋아요 건성 남성분들에게 좋을것 같습니다 얼굴에 뾰루지 하나 있던데 그거 들어간거 보니 순한것 같아요! 향 깔끔!,/product/7212,0.025702425459354306
42,2017.11.9,포로링쥬,f,23세 · 복합성 ·,good,아버지가 꾸준하게 쓰시고 있는 제품~! 향이 남성들에게 잘 어울리는 향이고 이 라인의 올인원 제품도 있어서 그거 하나 사드리면 바르시는 거 귀찮은 분들도 간편하게 스킨 케어 하실 수 있어요,/product/7212,0.008072825587862598
43,2017.10.26,피부실화냐,m,24세 · 지성 ·,good,피톤치드 향이나면서 적당히 촉촉해서 좋았어요 바르고 나면 은은하게 향도 남아서 남자들이 쓰기 좋음,/product/7212,0.003540440362998054
44,2017.10.7,명량한돼지,f,19세 · 복합성 ·,good,아부지 생신이라서 세트로 사드렸어요 건조하고 각질 있는 피부에 T존에는 기름이 많고 주름으로 걱정중이셨는데 직원 추천으로 사드렸어요 향이 조금 독한걸 좋아하시는데 전 독한지 잘 모르겠더라고요 그래도 아부지가 좋다고 하시네요,/product/7212,0.003353457905581392
45,2017.8.14,삥꾸뽕,f,26세 · 복합성 ·,best,톡 쏘지 않고 은은한 향이 순한 느낌을 줘서 아주 좋더라구요. 알코올 에탄올 성분도 없어서 민감성 피부에 강추하고 다닙니다ㅠㅠ 이거 패키지도 세련되서 선물용으로도 아주 좋아요!!!,/product/7212,0.003126065415614887
46,2017.6.10,애플바잉,m,32세 · 복합성 ·,good,이거 조음 직접 써본결과 매우만족ㅋㅋ,/product/7212,0.0019061056355579309
47,2017.6.7,강냉별,m,27세 · 건성 ·,soso,📌 성분도 남자꺼 치고 순한 편에 발림성 또한 우수한 편 전체적으로 모든피부에 무난하게 사용할 수 있음. 똑같은 라인에 초록버전보다 파란 버전(모이스처) 더 유분감도 덜하고 촉촉하니 좋았음  📌 무난한게 가장 큰 장점이지 않나 싶음 향이 일단 매우 좋았어서(흔히 남자 화장품에서 나는 아재향 같은게 없음) 선물용으로 좋음  📌 초록 라인보단 모든 피부에 파란 모이스처 라인 추천,/product/7212,0.0048970416227446245
48,2017.6.3,유재슥,m,29세 · 민감성 ·,good,이제품은 로션이건 스킨이건 둘다 짱입니당 ㅎㅎㅎ 남성의향이아닌 향기라고 해야하나 암튼 좋아용,/product/7212,0.0031124347315150125
49,2017.5.30,Tempest,m,29세 · 복합성 ·,soso,스킨 알콜향은 없어서 좋지만 그린티랑 차이가 ...,/product/7212,0.002013889158211324
50,2017.5.12,라임7979,m,42세 · 지성 ·,soso,발랐을때 상쾌하고 향도 좋네요 추천합니다,/product/7212,0.0036105305191473924
51,2017.4.3,도리쓰쓰,m,27세 · 지성 ·,good,리뷰에 많이 보인다. 군인들이 많이 쓴다고 외박 나가서 사서 들어와서 전역하고 난 지금까지 계속 쓰고있다. 좋음.,/product/7212,0.0026861846031177583
52,2017.3.29,대영미남,m,25세 · 지성 ·,good,남자들의 공용 스킨이죠? ㅋㅋㅋ,/product/7212,0.0022846018652458167
53,2017.2.23,셉킴,m,31세 · 지성 ·,soso,오 근데 조아요 막 그렇게 강해서 따갑지도 않지만 제가 쓰기에는 충분히 괜찮았어용 양도 많고 굳굳 ㅐㅐㅐㅐㅐㅐ,/product/7212,0.004485330162573797
54,2017.1.31,맛수,f,24세 · 민감성 ·,soso,기름진 물 로션을 탄 물 같은 느낌 난 동생꺼 썻을때 나쁘지 않앗당,/product/7212,0.006720874140461519
55,2017.1.28,꿀피부돌리도,m,28세 · 복합성 ·,good,수분이 부족한 남자분들껜 가성비로 치자면 이게 갑이죠:),/product/7212,0.004009935142129217
56,2017.1.6,jh1015,f,39세 · 복합성 ·,best,남편이 애용하는 제품입니다.,/product/7212,0.00501889133797917
57,2017.1.5,현돼징,f,22세 · 복합성 ·,good,남자친구 피부많이 좋아졌습니다 ~~~ 좋아요,/product/7212,0.0018205606097424498
58,2016.12.10,유yu진jin,f,22세 · 복합성 ·,best,남자친구선물해줫는데 매우잘쓴다 그래서만족중,/product/7212,0.0013162353610589594
59,2016.11.23,타디스블루,m,32세 · 복합성 ·,good,이번에 포레스트 포맨으로 갈아탔는데 지금까진 나쁘지않네요 향도 좋구 피부도 좋아지는 느낌,/product/7212,0.002820983251673903
60,2016.10.24,워너비꿀광,m,27세 · 지성 ·,good,효과도 어느정도잇는거같고 괜춘한제품,/product/7212,0.017461719162770395
61,2016.5.13,아민,f,28세 · 건성 ·,best,군대간 남친 휴가나오더니 알아서 이거 사서 들어감 ㅋㅋㅋㅋ 남자들끼리 모여도 이게 좋다 이건별로다 이야기 하나봐요 ㅋㅋㅋ결국 남자 군인사이에선 1등인듯 ㅋㅋㅋㅋㅋ,/product/7212,0.0025897231755628303
62,2016.5.6,zzoni,f,47세 · 건성 ·,good,남성 화장품 가끔 향이 너무 강해 불호일때가 있는데 이거 쓴 남편에게서 그런 느낌은 못받았어요. 만족하며 쓰고 있어요. 재구매했고 다시 재구매 할 계획이예요.,/product/7212,0.0023627352993248474
63,2016.4.26,우어어어엉,f,31세 · 건성 ·,best,향은 대체로 남자향인데 촉촉하고 발랏을때 흡수도 잘되서 좋아요!,/product/7212,0.0038772376990171553
64,2016.3.21,브링,f,39세 · 복합성 ·,good,건성인 옆지기가 쓰기에 촉촉하고 무난하게 쓰기좋음. 제일 좋은건 향이 세지 않다는 것.  향수마냥 독한 냄새를 싫어하는 본인 취향임.  첨엔 낯설어 하더니 잘 씀.,/product/7212,0.010303468615444733
